project_id,project_name,ministry,sector,budget_allocated_cr,budget_utilized_cr,budget_utilized_pct,start_date,planned_end_date,planned_duration_months,months_elapsed,percent_complete,reporting_delay_days,last_report_gap_days,is_delayed
PRJ-00026,Thermal power project 26,Power,Thermal power,361.12,276.26,76.5,2024-02-07,2028-10-13,57,31,64.3,18,1,0
PRJ-00027,Transmission lines project 27,Power,Transmission lines,97.61,84.92,87.0,2022-06-03,2026-03-14,46,52,82.3,0,12,1
PRJ-00028,Irrigation canals project 28,Agriculture,Irrigation canals,173.27,126.66,73.1,2022-07-18,2024-04-08,21,50,60.4,2,22,1
PRJ-00029,Steel plant expansion project 29,Steel,Steel plant expansion,194.16,36.89,19.0,2022-08-14,2025-04-30,33,49,27.2,0,43,1
PRJ-00030,Optical fibre network project 30,Telecommunications,Optical fibre network,208.99,206.69,98.9,2022-02-02,2025-08-15,43,56,98.0,7,8,0
PRJ-00031,Thermal power project 31,Power,Thermal power,150.41,42.72,28.4,2023-08-03,2028-07-07,60,38,23.6,2,33,1
PRJ-00032,Rural water supply project 32,Jal Shakti,Rural water supply,56.75,52.38,92.3,2020-12-27,2027-10-22,83,69,84.5,27,5,0
PRJ-00033,Irrigation project 33,Jal Shakti,Irrigation,37.32,38.03,101.9,2022-05-04,2026-09-10,53,53,98.0,1,10,0
PRJ-00034,State highways project 34,Road Transport & Highways,State highways,90.04,59.97,66.6,2024-11-22,2026-03-17,16,22,66.1,36,16,1
PRJ-00035,Smart city infra project 35,Housing & Urban Affairs,Smart city infra,272.59,164.64,60.4,2023-12-06,2027-09-16,46,33,55.3,3,24,1
PRJ-00036,Bridges project 36,Road Transport & Highways,Bridges,68.79,33.98,49.4,2024-12-29,2031-11-23,84,20,39.5,5,19,0
PRJ-00037,Smart city infra project 37,Housing & Urban Affairs,Smart city infra,44.26,15.98,36.1,2024-12-26,2031-02-23,75,20,35.3,3,7,1
PRJ-00038,Refineries project 38,Petroleum & Natural Gas,Refineries,6.52,1.55,23.8,2021-03-21,2026-12-20,70,66,27.1,7,8,1
PRJ-00039,Metro rail project 39,Railways,Metro rail,26.31,10.37,39.4,2024-09-10,2027-01-28,29,24,45.9,7,9,1
PRJ-00040,Irrigation project 40,Jal Shakti,Irrigation,392.47,297.49,75.8,2022-01-01,2028-10-26,83,57,82.1,29,3,0
PRJ-00041,Optical fibre network project 41,Telecommunications,Optical fibre network,23.8,12.88,54.1,2024-09-14,2030-02-15,66,24,45.4,0,6,0
PRJ-00042,Solar parks project 42,New & Renewable Energy,Solar parks,43.18,35.49,82.2,2023-12-10,2028-09-14,58,33,69.5,2,3,0
PRJ-00043,Irrigation project 43,Jal Shakti,Irrigation,1052.37,289.4,27.5,2025-05-27,2031-09-23,77,15,34.6,4,0,0
PRJ-00044,Airport terminals project 44,Civil Aviation,Airport terminals,48.98,29.49,60.2,2025-09-01,2027-02-23,18,12,61.3,0,6,0
PRJ-00045,Rail track doubling project 45,Railways,Rail track doubling,556.76,330.72,59.4,2025-04-27,2027-12-13,32,16,73.8,8,8,1
PRJ-00046,Irrigation canals project 46,Agriculture,Irrigation canals,112.9,46.97,41.6,2023-10-24,2025-06-15,20,35,41.0,1,10,1
PRJ-00047,Refineries project 47,Petroleum & Natural Gas,Refineries,77.29,36.79,47.6,2024-01-15,2029-11-14,71,32,67.1,3,34,0
PRJ-00048,Port development project 48,Shipping,Port development,118.05,36.95,31.3,2024-10-08,2031-07-04,82,23,29.2,18,4,0
PRJ-00049,National highways project 49,Road Transport & Highways,National highways,30.99,31.33,101.1,2022-05-13,2024-07-01,26,52,98.0,1,15,0
PRJ-00050,Irrigation canals project 50,Agriculture,Irrigation canals,29.41,17.94,61.0,2021-03-20,2027-10-15,80,66,73.2,1,17,0
PRJ-00051,Rural water supply project 51,Jal Shakti,Rural water supply,135.81,142.6,105.0,2021-11-13,2026-05-21,55,58,98.0,15,1,0
PRJ-00052,Rail track doubling project 52,Railways,Rail track doubling,67.75,32.99,48.7,2024-07-13,2030-01-13,67,26,40.2,14,0,1
PRJ-00053,Thermal power project 53,Power,Thermal power,101.64,50.31,49.5,2023-08-20,2024-08-14,12,37,28.6,24,4,1
PRJ-00054,Rural water supply project 54,Jal Shakti,Rural water supply,319.39,300.23,94.0,2020-09-23,2026-12-21,76,72,94.1,11,9,0
PRJ-00055,Thermal power project 55,Power,Thermal power,236.9,113.0,47.7,2023-05-02,2025-05-21,25,41,53.3,3,11,1
PRJ-00056,Mineral exploration project 56,Mines,Mineral exploration,37.97,16.55,43.6,2024-07-03,2030-09-30,76,26,48.4,13,35,0
PRJ-00057,Steel plant expansion project 57,Steel,Steel plant expansion,26.21,19.61,74.8,2025-01-23,2027-08-11,31,20,76.4,12,1,0
PRJ-00058,Rural roads project 58,Rural Development,Rural roads,45.01,35.15,78.1,2021-11-26,2024-07-13,32,58,70.4,5,10,1
PRJ-00059,Optical fibre network project 59,Telecommunications,Optical fibre network,57.89,56.04,96.8,2020-10-31,2027-04-28,79,71,96.7,2,0,0
PRJ-00060,National highways project 60,Road Transport & Highways,National highways,123.44,129.61,105.0,2022-10-27,2027-03-05,53,47,90.2,5,11,0
PRJ-00061,Airport terminals project 61,Civil Aviation,Airport terminals,207.27,85.6,41.3,2026-01-26,2028-03-16,26,7,49.4,0,3,0
PRJ-00062,Rural roads project 62,Rural Development,Rural roads,54.32,55.19,101.6,2021-04-02,2025-06-10,51,66,98.0,3,20,0
PRJ-00063,Irrigation project 63,Jal Shakti,Irrigation,20.74,7.57,36.5,2025-11-08,2029-04-21,42,10,18.2,19,32,0
PRJ-00064,Solar parks project 64,New & Renewable Energy,Solar parks,60.6,52.72,87.0,2020-11-13,2022-09-04,22,71,98.0,13,5,0
PRJ-00065,Bridges project 65,Road Transport & Highways,Bridges,57.46,26.2,45.6,2022-01-28,2028-02-26,74,56,45.1,4,17,1
PRJ-00066,Bridges project 66,Road Transport & Highways,Bridges,44.39,40.26,90.7,2020-09-11,2027-04-08,80,73,85.3,1,13,0
PRJ-00067,Metro rail project 67,Railways,Metro rail,9.08,3.58,39.4,2025-06-17,2031-05-17,72,15,38.2,0,8,0
PRJ-00068,Optical fibre network project 68,Telecommunications,Optical fibre network,83.18,26.53,31.9,2025-04-02,2028-12-12,45,17,34.6,6,0,0
PRJ-00069,Port development project 69,Shipping,Port development,154.31,74.99,48.6,2021-04-15,2026-09-16,66,66,66.2,9,5,1
PRJ-00070,Transmission lines project 70,Power,Transmission lines,211.01,210.17,99.6,2020-12-20,2027-08-16,81,69,86.3,3,11,0
PRJ-00071,Transmission lines project 71,Power,Transmission lines,7.28,6.95,95.4,2022-03-07,2026-05-15,51,55,96.3,4,12,0
PRJ-00072,Refineries project 72,Petroleum & Natural Gas,Refineries,56.84,15.86,27.9,2022-05-31,2027-04-05,59,52,23.0,1,5,1
PRJ-00073,Coal mining infra project 73,Coal,Coal mining infra,61.47,16.29,26.5,2021-02-18,2027-07-17,78,67,34.4,8,2,1
PRJ-00074,Coal mining infra project 74,Coal,Coal mining infra,10.34,3.84,37.1,2025-07-02,2029-01-12,43,14,36.7,3,19,0
PRJ-00075,Irrigation project 75,Jal Shakti,Irrigation,26.85,5.4,20.1,2025-10-26,2030-05-03,55,10,22.3,16,19,0
PRJ-00076,National highways project 76,Road Transport & Highways,National highways,25.6,19.71,77.0,2022-11-18,2029-08-13,82,46,80.1,1,5,0
PRJ-00077,Irrigation project 77,Jal Shakti,Irrigation,565.92,572.15,101.1,2022-11-17,2026-03-01,40,46,98.0,0,8,0
PRJ-00078,National highways project 78,Road Transport & Highways,National highways,18.84,8.93,47.4,2025-10-12,2027-05-05,19,11,56.4,4,5,0
PRJ-00079,Irrigation project 79,Jal Shakti,Irrigation,28.77,27.62,96.0,2025-10-19,2027-02-11,16,11,87.2,1,18,0
PRJ-00080,Smart city infra project 80,Housing & Urban Affairs,Smart city infra,21.41,6.77,31.6,2025-10-12,2032-02-08,77,11,15.8,6,1,0
PRJ-00081,Irrigation project 81,Jal Shakti,Irrigation,21.36,7.09,33.2,2024-08-13,2030-09-11,74,25,27.6,8,1,0
PRJ-00082,Transmission lines project 82,Power,Transmission lines,36.76,8.42,22.9,2023-02-26,2025-06-15,28,43,28.4,1,27,1
PRJ-00083,Solar parks project 83,New & Renewable Energy,Solar parks,71.03,40.13,56.5,2022-12-12,2028-11-10,72,45,65.6,4,41,0
PRJ-00084,Irrigation project 84,Jal Shakti,Irrigation,90.79,85.98,94.7,2021-10-12,2027-09-11,72,60,92.6,2,9,0
PRJ-00085,Gas pipelines project 85,Petroleum & Natural Gas,Gas pipelines,7.61,4.57,60.1,2025-02-10,2027-01-31,24,19,78.1,11,8,0
PRJ-00086,Rail track doubling project 86,Railways,Rail track doubling,36.74,9.15,24.9,2022-06-26,2027-12-27,67,51,22.2,7,7,1
PRJ-00087,Rural roads project 87,Rural Development,Rural roads,28.58,17.69,61.9,2023-10-21,2029-01-22,64,35,67.7,3,3,0
PRJ-00088,Coal mining infra project 88,Coal,Coal mining infra,280.96,0.0,0.0,2021-05-02,2022-10-24,18,65,9.6,7,31,1
PRJ-00089,Irrigation canals project 89,Agriculture,Irrigation canals,108.04,48.73,45.1,2022-07-07,2024-06-26,24,51,46.7,22,10,1
PRJ-00090,State highways project 90,Road Transport & Highways,State highways,57.07,33.84,59.3,2023-12-03,2028-06-09,55,33,62.5,12,20,0
PRJ-00091,Rail track doubling project 91,Railways,Rail track doubling,97.19,72.31,74.4,2024-10-13,2027-09-28,36,23,78.5,3,6,0
PRJ-00092,Transmission lines project 92,Power,Transmission lines,27.68,15.2,54.9,2023-03-04,2028-11-02,69,43,54.7,2,27,0
PRJ-00093,Metro rail project 93,Railways,Metro rail,196.02,205.04,104.6,2023-10-24,2026-09-08,35,35,93.2,18,1,0
PRJ-00094,Rural water supply project 94,Jal Shakti,Rural water supply,129.31,120.9,93.5,2023-08-02,2027-02-12,43,38,89.5,6,4,0
PRJ-00095,Bridges project 95,Road Transport & Highways,Bridges,196.26,109.91,56.0,2023-09-11,2030-06-06,82,36,52.7,0,5,0
PRJ-00096,Rail track doubling project 96,Railways,Rail track doubling,355.34,262.95,74.0,2025-11-23,2032-07-19,81,9,64.3,1,12,1
PRJ-00097,National highways project 97,Road Transport & Highways,National highways,114.14,27.85,24.4,2020-09-29,2022-08-20,23,72,9.4,2,7,1
PRJ-00098,Irrigation project 98,Jal Shakti,Irrigation,84.33,72.95,86.5,2025-03-31,2030-07-03,64,17,80.6,7,30,1
PRJ-00099,Airport terminals project 99,Civil Aviation,Airport terminals,23.86,22.17,92.9,2023-06-25,2026-09-07,39,39,98.0,6,32,0
PRJ-00100,Refineries project 100,Petroleum & Natural Gas,Refineries,59.31,61.21,103.2,2021-02-12,2022-09-05,19,68,98.0,0,6,0
PRJ-00101,Thermal power project 101,Power,Thermal power,54.3,4.51,8.3,2024-01-20,2025-01-14,12,32,24.8,12,9,1
PRJ-00102,Refineries project 102,Petroleum & Natural Gas,Refineries,49.46,12.22,24.7,2024-09-09,2030-06-10,70,24,27.3,3,7,0
PRJ-00103,Urban housing project 103,Housing & Urban Affairs,Urban housing,48.45,25.34,52.3,2023-10-22,2030-08-16,83,35,45.3,5,10,0
PRJ-00104,Irrigation canals project 104,Agriculture,Irrigation canals,17.77,4.87,27.4,2022-02-24,2028-03-24,74,55,29.0,25,69,1
PRJ-00105,Metro rail project 105,Railways,Metro rail,1891.96,832.46,44.0,2025-02-11,2029-02-20,49,19,45.4,0,2,0
PRJ-00106,Transmission lines project 106,Power,Transmission lines,1883.53,870.19,46.2,2020-09-30,2022-04-23,19,72,72.8,0,6,1
PRJ-00107,Solar parks project 107,New & Renewable Energy,Solar parks,336.94,185.65,55.1,2022-01-20,2028-09-15,81,56,62.9,1,12,0
PRJ-00108,State highways project 108,Road Transport & Highways,State highways,41.66,40.95,98.3,2021-12-26,2026-04-04,52,57,98.0,1,3,0
PRJ-00109,State highways project 109,Road Transport & Highways,State highways,170.4,30.67,18.0,2025-11-24,2031-11-23,73,9,13.1,0,12,0
PRJ-00110,Port development project 110,Shipping,Port development,42.27,40.88,96.7,2021-01-09,2027-07-07,79,69,94.2,2,6,0
PRJ-00111,Thermal power project 111,Power,Thermal power,16.36,1.33,8.1,2025-11-10,2032-03-08,77,10,20.6,2,6,0
PRJ-00112,Bridges project 112,Road Transport & Highways,Bridges,13.28,11.14,83.9,2021-05-28,2024-04-12,35,64,98.0,3,6,0
PRJ-00113,Bridges project 113,Road Transport & Highways,Bridges,5.0,5.1,102.0,2022-11-04,2024-06-26,20,47,98.0,2,24,0
PRJ-00114,Irrigation canals project 114,Agriculture,Irrigation canals,235.89,246.98,104.7,2021-05-06,2024-10-17,42,65,98.0,12,3,0
PRJ-00115,Refineries project 115,Petroleum & Natural Gas,Refineries,83.27,7.91,9.5,2025-07-04,2032-05-28,84,14,17.3,33,0,0
PRJ-00116,Irrigation project 116,Jal Shakti,Irrigation,8.02,8.28,103.3,2022-12-07,2024-04-30,17,46,98.0,6,0,0
PRJ-00117,Steel plant expansion project 117,Steel,Steel plant expansion,93.02,0.0,0.0,2025-09-20,2031-01-22,65,12,8.7,7,8,0
PRJ-00118,Irrigation canals project 118,Agriculture,Irrigation canals,42.42,16.8,39.6,2022-11-27,2029-10-21,84,46,47.6,7,5,0
PRJ-00119,Port development project 119,Shipping,Port development,18.75,13.69,73.0,2024-05-28,2028-02-07,45,28,71.2,6,15,0
PRJ-00120,Transmission lines project 120,Power,Transmission lines,146.91,148.97,101.4,2022-06-04,2026-09-11,52,52,91.5,0,17,0
PRJ-00121,Irrigation project 121,Jal Shakti,Irrigation,63.72,27.91,43.8,2024-09-09,2029-10-13,62,24,49.4,9,19,0
PRJ-00122,Metro rail project 122,Railways,Metro rail,16.21,2.64,16.3,2022-05-31,2026-07-09,50,52,18.6,7,9,1
PRJ-00123,Coal mining infra project 123,Coal,Coal mining infra,109.32,112.16,102.6,2024-05-28,2026-02-17,21,28,98.0,13,3,0
PRJ-00124,National highways project 124,Road Transport & Highways,National highways,9.17,5.22,56.9,2023-08-11,2030-07-05,84,37,55.6,35,0,0
PRJ-00125,Rail track doubling project 125,Railways,Rail track doubling,16.36,4.12,25.2,2025-10-07,2032-05-03,80,11,18.4,20,23,0
PRJ-00126,Transmission lines project 126,Power,Transmission lines,36.41,7.97,21.9,2023-05-05,2027-01-14,45,41,16.9,14,1,1
PRJ-00127,Metro rail project 127,Railways,Metro rail,89.01,83.31,93.6,2020-12-11,2025-07-18,56,70,98.0,3,9,0
PRJ-00128,Bridges project 128,Road Transport & Highways,Bridges,28.62,29.74,103.9,2021-04-01,2024-10-12,43,66,98.0,7,0,0
PRJ-00129,Rural roads project 129,Rural Development,Rural roads,74.22,69.1,93.1,2024-07-31,2027-03-18,32,25,79.0,22,7,0
PRJ-00130,Coal mining infra project 130,Coal,Coal mining infra,220.47,113.98,51.7,2021-07-03,2028-02-27,81,63,69.3,33,16,0
PRJ-00131,Urban housing project 131,Housing & Urban Affairs,Urban housing,38.62,19.31,50.0,2022-10-01,2029-03-28,79,48,57.7,3,0,0
PRJ-00132,National highways project 132,Road Transport & Highways,National highways,5.4,3.18,58.8,2022-06-08,2029-03-03,82,52,67.1,9,25,0
PRJ-00133,Urban housing project 133,Housing & Urban Affairs,Urban housing,62.53,33.27,53.2,2020-12-14,2023-01-03,25,70,48.3,7,11,1
PRJ-00134,Metro rail project 134,Railways,Metro rail,8.66,4.32,49.9,2024-09-11,2026-10-31,26,24,56.1,1,5,1
PRJ-00135,Rail track doubling project 135,Railways,Rail track doubling,422.7,170.35,40.3,2022-01-06,2028-10-01,82,57,34.0,9,3,1
PRJ-00136,Metro rail project 136,Railways,Metro rail,1428.8,621.53,43.5,2024-08-26,2028-08-05,48,25,37.7,6,1,1
PRJ-00137,Steel plant expansion project 137,Steel,Steel plant expansion,96.7,30.85,31.9,2024-12-30,2029-07-07,55,20,39.9,8,5,0
PRJ-00138,Transmission lines project 138,Power,Transmission lines,210.47,101.66,48.3,2022-04-29,2026-01-08,45,53,58.9,5,0,1
PRJ-00139,Port development project 139,Shipping,Port development,65.28,65.35,100.1,2023-06-10,2027-01-20,44,39,89.7,5,13,0
PRJ-00140,State highways project 140,Road Transport & Highways,State highways,7.92,2.76,34.8,2025-08-29,2031-01-30,66,12,30.6,16,24,0
PRJ-00141,Rural water supply project 141,Jal Shakti,Rural water supply,193.76,189.11,97.6,2025-12-06,2026-12-01,12,9,91.1,9,2,0
PRJ-00142,Smart city infra project 142,Housing & Urban Affairs,Smart city infra,41.21,23.65,57.4,2021-11-08,2024-02-26,28,59,53.4,10,8,1
PRJ-00143,Mineral exploration project 143,Mines,Mineral exploration,85.49,67.96,79.5,2020-09-07,2024-05-19,45,73,57.9,7,18,1
PRJ-00144,Thermal power project 144,Power,Thermal power,94.31,78.84,83.6,2022-01-08,2027-08-10,68,57,98.0,6,32,0
PRJ-00145,Optical fibre network project 145,Telecommunications,Optical fibre network,37.32,30.19,80.9,2022-03-22,2027-08-23,66,54,87.9,2,5,0
PRJ-00146,Optical fibre network project 146,Telecommunications,Optical fibre network,35.72,10.57,29.6,2026-02-15,2028-04-05,26,7,34.9,16,0,0
PRJ-00147,Bridges project 147,Road Transport & Highways,Bridges,510.39,0.0,0.0,2020-11-17,2023-06-05,31,70,16.0,9,2,1
PRJ-00148,Optical fibre network project 148,Telecommunications,Optical fibre network,154.97,124.75,80.5,2025-12-23,2030-10-28,59,8,67.4,1,3,1
PRJ-00149,Solar parks project 149,New & Renewable Energy,Solar parks,155.28,141.46,91.1,2023-01-30,2025-07-18,30,44,98.0,4,49,0
PRJ-00150,Gas pipelines project 150,Petroleum & Natural Gas,Gas pipelines,214.27,196.06,91.5,2025-06-18,2026-11-10,17,15,93.8,2,5,0
PRJ-00151,Urban housing project 151,Housing & Urban Affairs,Urban housing,59.93,33.86,56.5,2024-02-19,2025-07-13,17,31,51.9,27,17,1
PRJ-00152,Rural roads project 152,Rural Development,Rural roads,121.26,90.82,74.9,2024-12-31,2028-07-13,43,20,70.0,7,7,1
PRJ-00153,Irrigation canals project 153,Agriculture,Irrigation canals,27.68,6.09,22.0,2025-08-08,2030-04-14,57,13,28.8,1,3,0
PRJ-00154,Optical fibre network project 154,Telecommunications,Optical fibre network,29.22,10.11,34.6,2021-03-22,2026-06-24,64,66,41.5,4,7,1
PRJ-00155,Steel plant expansion project 155,Steel,Steel plant expansion,8.51,8.3,97.5,2021-12-23,2024-07-10,31,57,98.0,9,3,0
PRJ-00156,Irrigation project 156,Jal Shakti,Irrigation,1514.19,1489.96,98.4,2021-05-01,2023-12-17,32,65,98.0,9,5,0
PRJ-00157,Thermal power project 157,Power,Thermal power,18.14,18.81,103.7,2021-03-27,2026-06-29,64,66,98.0,6,2,0
PRJ-00158,National highways project 158,Road Transport & Highways,National highways,95.41,80.91,84.8,2025-03-04,2029-08-10,54,18,81.2,9,24,1
PRJ-00159,Gas pipelines project 159,Petroleum & Natural Gas,Gas pipelines,213.52,213.52,100.0,2021-09-06,2025-03-19,43,61,98.0,3,7,0
PRJ-00160,Rural water supply project 160,Jal Shakti,Rural water supply,112.36,21.46,19.1,2025-04-14,2027-05-04,25,17,24.4,10,18,1
PRJ-00161,Refineries project 161,Petroleum & Natural Gas,Refineries,64.61,30.37,47.0,2021-04-15,2022-08-08,16,66,45.8,6,2,1
PRJ-00162,Airport terminals project 162,Civil Aviation,Airport terminals,34.71,24.09,69.4,2024-12-06,2027-12-21,37,21,70.5,0,15,0
PRJ-00163,Coal mining infra project 163,Coal,Coal mining infra,35.58,27.08,76.1,2024-03-20,2028-05-28,51,30,65.6,3,6,0
PRJ-00164,Irrigation project 164,Jal Shakti,Irrigation,58.15,53.67,92.3,2024-12-05,2026-02-28,15,21,98.0,16,10,0
PRJ-00165,Irrigation canals project 165,Agriculture,Irrigation canals,454.64,261.42,57.5,2025-02-04,2030-04-09,63,19,54.9,10,2,1
PRJ-00166,Smart city infra project 166,Housing & Urban Affairs,Smart city infra,101.59,53.33,52.5,2024-08-13,2026-04-05,20,25,41.9,5,8,1
PRJ-00167,Rural water supply project 167,Jal Shakti,Rural water supply,296.9,134.2,45.2,2024-03-17,2030-07-14,77,30,33.6,1,17,0
PRJ-00168,Refineries project 168,Petroleum & Natural Gas,Refineries,8.82,0.49,5.6,2022-05-15,2028-12-09,80,52,3.1,0,21,1
PRJ-00169,Smart city infra project 169,Housing & Urban Affairs,Smart city infra,8.81,3.04,34.5,2020-11-29,2022-02-22,15,70,38.0,7,0,1
PRJ-00170,Rail track doubling project 170,Railways,Rail track doubling,200.58,210.61,105.0,2021-04-05,2024-12-15,45,66,98.0,5,24,0
PRJ-00171,Thermal power project 171,Power,Thermal power,47.62,28.62,60.1,2022-12-03,2026-08-14,45,46,59.6,2,0,1
PRJ-00172,State highways project 172,Road Transport & Highways,State highways,56.25,11.14,19.8,2025-07-27,2031-01-27,67,13,19.7,21,1,0
PRJ-00173,Rural roads project 173,Rural Development,Rural roads,219.47,212.01,96.6,2022-02-03,2026-05-13,52,56,98.0,4,1,0
PRJ-00174,Gas pipelines project 174,Petroleum & Natural Gas,Gas pipelines,19.69,12.17,61.8,2022-10-12,2029-02-07,77,47,68.3,8,7,0
PRJ-00175,Rail track doubling project 175,Railways,Rail track doubling,52.05,51.37,98.7,2024-01-08,2026-12-23,36,32,95.1,9,8,0
PRJ-00176,Rural water supply project 176,Jal Shakti,Rural water supply,233.19,124.76,53.5,2025-12-06,2031-06-08,67,9,49.0,6,13,1
PRJ-00177,National highways project 177,Road Transport & Highways,National highways,152.99,78.33,51.2,2023-04-07,2029-11-01,80,41,58.7,4,89,0
PRJ-00178,Irrigation canals project 178,Agriculture,Irrigation canals,246.33,250.27,101.6,2022-02-22,2025-03-08,37,55,98.0,12,6,0
PRJ-00179,Rural roads project 179,Rural Development,Rural roads,313.03,328.68,105.0,2023-10-05,2025-05-27,20,35,98.0,13,20,0
PRJ-00180,Irrigation canals project 180,Agriculture,Irrigation canals,78.0,63.65,81.6,2021-01-06,2025-06-14,54,69,98.0,0,14,0
PRJ-00181,Steel plant expansion project 181,Steel,Steel plant expansion,18.38,19.3,105.0,2024-06-02,2026-08-21,27,27,98.0,2,11,0
PRJ-00182,Urban housing project 182,Housing & Urban Affairs,Urban housing,5.0,4.08,81.6,2023-05-03,2027-07-11,51,41,81.8,15,5,0
PRJ-00183,Irrigation canals project 183,Agriculture,Irrigation canals,10.95,9.4,85.8,2023-11-21,2028-03-29,53,34,80.2,6,20,0
PRJ-00184,Refineries project 184,Petroleum & Natural Gas,Refineries,48.01,22.42,46.7,2022-04-09,2026-04-18,49,54,41.2,20,1,1
PRJ-00185,Optical fibre network project 185,Telecommunications,Optical fibre network,7.38,4.58,62.0,2025-06-19,2028-06-03,36,15,48.1,2,4,0
PRJ-00186,Gas pipelines project 186,Petroleum & Natural Gas,Gas pipelines,477.65,416.99,87.3,2022-06-14,2027-05-19,60,51,88.9,2,13,0
PRJ-00187,Irrigation canals project 187,Agriculture,Irrigation canals,76.48,13.38,17.5,2021-12-25,2024-10-10,34,57,13.1,9,39,1
PRJ-00188,Steel plant expansion project 188,Steel,Steel plant expansion,410.2,228.89,55.8,2022-12-27,2027-02-04,50,45,54.4,6,11,1
PRJ-00189,Refineries project 189,Petroleum & Natural Gas,Refineries,71.06,24.44,34.4,2023-02-08,2024-02-03,12,43,16.9,2,21,1
PRJ-00190,Urban housing project 190,Housing & Urban Affairs,Urban housing,46.62,34.59,74.2,2024-07-27,2027-09-10,38,26,79.8,2,6,0
PRJ-00191,Gas pipelines project 191,Petroleum & Natural Gas,Gas pipelines,27.78,28.09,101.1,2021-10-09,2026-02-15,53,60,98.0,7,16,0
PRJ-00192,Coal mining infra project 192,Coal,Coal mining infra,42.08,36.06,85.7,2023-09-14,2029-04-15,68,36,69.5,0,9,1
PRJ-00193,Irrigation canals project 193,Agriculture,Irrigation canals,32.31,13.63,42.2,2024-12-24,2031-04-22,77,21,25.8,7,6,0
